#,Stack,Input,Action
1,0,"const inteiro id = num_int ; const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s4
2,0 4,"inteiro id = num_int ; const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s10
3,0 4 10,"id = num_int ; const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r26 (<tipo_pre_def> → inteiro)
4,0 4 9,"id = num_int ; const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s29
5,0 4 9 29,"= num_int ; const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s62
6,0 4 9 29 62,"num_int ; const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s47
7,0 4 9 29 62 47,"; const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r79 (<constante_explicita> → num_int)
8,0 4 9 29 62 110,"; const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r21 (<constante> → <constante_explicita>)
9,0 4 9 29 62 108,"; const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s137
10,0 4 9 29 62 108 137,"const real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s4
11,0 4 9 29 62 108 137 4,"real id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s11
12,0 4 9 29 62 108 137 4 11,"id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r27 (<tipo_pre_def> → real)
13,0 4 9 29 62 108 137 4 9,"id = num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s29
14,0 4 9 29 62 108 137 4 9 29,"= num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s62
15,0 4 9 29 62 108 137 4 9 29 62,"num_real ; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s48
16,0 4 9 29 62 108 137 4 9 29 62 48,"; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r80 (<constante_explicita> → num_real)
17,0 4 9 29 62 108 137 4 9 29 62 110,"; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r21 (<constante> → <constante_explicita>)
18,0 4 9 29 62 108 137 4 9 29 62 108,"; const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s137
19,0 4 9 29 62 108 137 4 9 29 62 108 137,"const booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s4
20,0 4 9 29 62 108 137 4 9 29 62 108 137 4,"booleano id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s12
21,0 4 9 29 62 108 137 4 9 29 62 108 137 4 12,"id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r28 (<tipo_pre_def> → booleano)
